Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
21,111,129.0,+14:49,,40.0,Gaudu David,34,Groupama - FDJ,14:44 14:44,\u25b26,2,2018
24,57,130.0,+14:57,,41.0,Pibernik Luka,35,Bahrain Merida Pro Cycling Team,14:52 14:52,\u25b26,2,2018
24,43,131.0,+15:02,,27.0,Bohli Tom,36,BMC Racing Team,14:57 14:57,\u25bc9,2,2018
24,197,142.0,+18:07,,36.0,Tusveld Martijn,37,Team Sunweb,18:02 18:02,\u25bc1,2,2018
23,215,145.0,+21:58,,24.0,Manzin Lorrenzo,38,Vital Concept Cycling Club,21:53 21:53,\u25bc14,2,2018
23,192,147.0,+25:02,,34.0,Bauhaus Phil,39,Team Sunweb,24:57 24:57,\u25bc5,2,2018
22,213,148.0,+25:25,,35.0,Ermenault Corentin,40,Vital Concept Cycling Club,25:20 25:20,\u25bc5,2,2018
32,143,,,9.0,1.0,Feillu Brice,1,Team Fortuneo - Samsic,,-,3,2018
31,146,,,9.0,2.0,Perichon Pierre-Luc,2,Team Fortuneo - Samsic,,-,3,2018
30,82,,,8.0,3.0,Edet Nicolas,3,"Cofidis, Solutions Cr\xe9dits",,-,3,2018
26,6,,,3.0,4.0,Stalnov Nikita,4,Astana Pro Team,,-,3,2018
26,154,,,2.0,5.0,Craddock Lawson,5,Team EF Education First-Drapac p/b Cannondale,,-,3,2018
32,21,,,1.0,6.0,Thomas Geraint,6,Team Sky,,-,3,2018
26,113,,,1.0,7.0,Duchesne Antoine,7,Groupama - FDJ,,-,3,2018
29,86,,,1.0,8.0,Teklehaimanot Daniel,8,"Cofidis, Solutions Cr\xe9dits",,-,3,2018
24,25,1.0,+0:00,,1.0,Moscon Gianni,1,Team Sky,13:55:30 13:55:30,-,4,2018
24,71,8.0,+1:13,,3.0,Benoot Tiesj,2,Lotto Soudal,1:13 1:13,\u25b21,4,2018
24,91,10.0,+1:48,,6.0,Soler Marc,3,Movistar Team,1:48 1:48,\u25b23,4,2018
