Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
24,,83,69.0,+0:10,,Henao Sebasti\xe1n,66,Team Sky,",, ,,",,1,2018
22,,102,70.0,+0:10,,Barta William,67,Hagens Berman Axeon,",, ,,",,1,2018
23,,152,71.0,+0:10,,Bryon Miguel,68,Holowesko - Citadel p/b Arapahoe Resources,",, ,,",,1,2018
23,,154,72.0,+0:10,,Eisenhart Taylor,69,Holowesko - Citadel p/b Arapahoe Resources,",, ,,",,1,2018
30,,121,73.0,+0:10,,Stetina Peter,70,Trek - Segafredo,",, ,,",,1,2018
22,,26,74.0,+0:10,,Van Hooydonck Nathan,71,BMC Racing Team,",, ,,",,1,2018
26,,143,75.0,+0:10,,Bystr\xf8m Sven Erik,72,UAE-Team Emirates,",, ,,",,1,2018
23,,32,76.0,+0:10,,Asgreen Kasper,73,Quick-Step Floors,",, ,,",,1,2018
28,,16,77.0,+0:10,,Poljanski Pawel,74,BORA - hansgrohe,",, ,,",,1,2018
39,,67,78.0,+0:10,,Pate Danny,75,Rally Cycling,",, ,,",,1,2018
30,,95,79.0,+0:10,,Gastauer Ben,76,AG2R La Mondiale,",, ,,",,1,2018
31,,112,80.0,+0:10,,Clarke Simon,77,Team EF Education First-Drapac p/b Cannondale,",, ,,",,1,2018
38,,124,81.0,+0:10,,Rast Gregory,78,Trek - Segafredo,",, ,,",,1,2018
23,,53,82.0,+0:10,,Fabbro Matteo,79,Team Katusha - Alpecin,",, ,,",,1,2018
27,,52,83.0,+0:10,,Boswell Ian,80,Team Katusha - Alpecin,",, ,,",,1,2018
32,,76,84.0,+0:10,,Kluge Roger,81,Mitchelton-Scott,",, ,,",,1,2018
28,,24,85.0,+0:10,,Rosskopf Joey,82,BMC Racing Team,",, ,,",,1,2018
21,,36,86.0,+0:10,,Narvaez Jhonatan,83,Quick-Step Floors,",, ,,",,1,2018
21,,145,87.0,+0:10,,Ganna Filippo,84,UAE-Team Emirates,",, ,,",,1,2018
33,,162,88.0,+0:10,,Clarke Jonathan,85,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2018
33,,62,89.0,+0:10,,Britton Rob,86,Rally Cycling,",, ,,",,1,2018
