Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
30.0,31,+0:20,,39.0,Vandborg Brian,31,Spidertech Powered by C10,",, 0:20",+0:10,,\u25b28,2,2012
31.0,32,+0:20,,36.0,ten Dam Laurens,32,Rabobank Cycling Team,",, 0:20",+0:10,,\u25b24,2,2012
30.0,33,+0:20,,23.0,Sutherland Rory,33,UnitedHealthcare Presented by Maxxis,",, 0:20",+0:10,,\u25bc10,2,2012
38.0,34,+0:20,,46.0,Leipheimer Levi,34,Omega Pharma - Quick-Step,",, 0:20",+0:10,,\u25b212,2,2012
21.0,35,+0:20,,35.0,Durbridge Luke,35,Orica GreenEDGE,",, 0:20",+0:10,,-,2,2012
27.0,36,+0:20,,62.0,Roche Nicolas,36,AG2R La Mondiale,",, 0:20",+0:10,,\u25b226,2,2012
33.0,37,+0:20,,42.0,Zabriskie David,37,Team Garmin - Barracuda,",, 0:20",+0:10,,\u25b25,2,2012
32.0,38,+0:20,,51.0,Cooke Matt,38,Team Exergy,",, 0:20",+0:10,,\u25b213,2,2012
27.0,39,+0:20,,45.0,Nibali Vincenzo,39,Liquigas - Cannondale,",, 0:20",+0:10,,\u25b26,2,2012
28.0,40,+0:20,,44.0,Diaz Andr\xe8s Miguel,40,Team Exergy,",, 0:20",+0:10,,\u25b24,2,2012
28.0,41,+0:20,,50.0,Deignan Philip,41,UnitedHealthcare Presented by Maxxis,",, 0:20",+0:10,,\u25b29,2,2012
22.0,42,+0:20,,49.0,Roe Timothy,42,BMC Racing Team,",, 0:20",+0:10,,\u25b27,2,2012
20.0,43,+0:20,,52.0,Brown Nathan,43,Bontrager Livestrong Team,",, 0:20",+0:10,,\u25b29,2,2012
28.0,44,+0:20,,63.0,Georges Sylvain,44,AG2R La Mondiale,",, 0:20",+0:10,,\u25b219,2,2012
26.0,45,+0:20,,61.0,Ch\xe9rel Micka\xebl,45,AG2R La Mondiale,",, 0:20",+0:10,,\u25b216,2,2012
