Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,201,14,+1:44,,14.0,K\xf6nig Leopold,14,Team NetApp \u2013 Endura,1:44 1:44,+0:00,,-,6,2014
28,143,15,+1:58,,26.0,Bakelants Jan,15,Omega Pharma - Quick-Step,1:58 1:58,+-5:55,,\u25b211,6,2014
25,121,16,+2:22,,15.0,van Garderen Tejay,16,BMC Racing Team,2:22 2:22,+0:00,,\u25bc1,6,2014
26,185,17,+2:32,,16.0,Durasek Kristijan,17,Lampre - Merida,2:32 2:32,+0:00,,\u25bc1,6,2014
30,4,18,+2:36,,17.0,Nieve Mikel,18,Team Sky,2:36 2:36,+0:00,,\u25bc1,6,2014
32,131,19,+2:42,,18.0,Moreno Daniel,19,Team Katusha,2:42 2:42,+0:00,,\u25bc1,6,2014
27,84,20,+2:47,,19.0,De Clercq Bart,20,Lotto Belisol,2:47 2:47,+0:00,,\u25bc1,6,2014
26,122,21,+3:31,,20.0,Atapuma John Darwin,21,BMC Racing Team,3:31 3:31,+0:00,,\u25bc1,6,2014
33,204,22,+3:56,,21.0,Huzarski Bartosz,22,Team NetApp \u2013 Endura,3:56 3:56,+0:00,,\u25bc1,6,2014
35,53,23,+4:01,,22.0,Gadret John,23,Movistar Team,4:01 4:01,+0:00,,\u25bc1,6,2014
27,63,24,+5:09,,23.0,Bouet Maxime,24,AG2R La Mondiale,5:09 5:09,+0:00,,\u25bc1,6,2014
31,17,25,+5:59,,43.0,Westra Lieuwe,25,Astana Pro Team,5:59 5:59,+-5:59,,\u25b218,6,2014
