Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
24,92,124,+55:55,20.0,Br\xe4ndle Matthias,21,IAM Cycling,55:43 55:43,,\u25bc1,6,2014
25,177,125,+56:27,23.0,Janse van Rensburg Reinardt,22,Team Giant - Shimano,56:15 56:15,,\u25b21,6,2014
24,208,126,+56:41,25.0,Thwaites Scott,23,Team NetApp \u2013 Endura,56:29 56:29,,\u25b22,6,2014
22,155,127,+56:44,26.0,D\xe9mare Arnaud,24,FDJ.fr,56:32 56:32,,\u25b22,6,2014
24,192,128,+58:53,21.0,Bobridge Jack,25,Belkin-Pro Cycling Team,58:41 58:41,,\u25bc4,6,2014
23,138,130,+1:00:44,24.0,Vorobyev Anton,26,Team Katusha,1:00:32 1:00:32,,\u25bc2,6,2014
24,205,132,+1:01:22,29.0,Matzka Ralf,27,Team NetApp \u2013 Endura,1:01:10 1:01:10,,\u25b22,6,2014
24,183,133,+1:02:00,27.0,Cimolai Davide,28,Lampre - Merida,1:01:48 1:01:48,,\u25bc1,6,2014
24,136,137,+1:06:40,30.0,Tsatevich Alexey,29,Team Katusha,1:06:28 1:06:28,,\u25b21,6,2014
21,66,138,+1:07:32,28.0,Gougeard Alexis,30,AG2R La Mondiale,1:07:20 1:07:20,,\u25bc2,6,2014
23,72,139,+1:08:48,31.0,Berhane Natnael,31,Team Europcar,1:08:36 1:08:36,,-,6,2014
24,42,150,+1:39:09,33.0,Howard Leigh,32,Orica GreenEDGE,1:38:57 1:38:57,,\u25b21,6,2014
23,191,4,+0:59,1.0,Kelderman Wilco,1,Belkin-Pro Cycling Team,27:47:50 27:47:50,,-,7,2014
23,61,7,+2:11,3.0,Bardet Romain,2,AG2R La Mondiale,1:12 1:12,,\u25b21,7,2014
25,97,8,+2:14,4.0,Reichenbach Sebastien,3,IAM Cycling,1:15 1:15,,\u25b21,7,2014
21,48,10,+2:52,2.0,Yates Adam,4,Orica GreenEDGE,1:53 1:53,,\u25bc2,7,2014
