stage_type,Stage,Winner,Leader after stage,year,stage,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
0.0,Stage 19 - Roanne › Montluçon,CHAVANEL Sylvain,Sastre Carlos,2008,18,0,0,0,1
0.0,Stage 20 (ITT) - Cérilly › Saint-Amand-Montrond,SCHUMACHER Stefan,Sastre Carlos,2008,19,1,0,0,0
0.0,Stage 21 - Étampes › Paris,STEEGMANS Gert,Sastre Carlos,2008,20,0,0,0,1
0.0,Prologue - London › London,CANCELLARA Fabian,Cancellara Fabian,2007,0,1,0,0,0
0.0,Stage 1 - London › Canterbury,MCEWEN Robbie,Cancellara Fabian,2007,1,0,0,0,1
0.0,Stage 2 - Dunkerque › Gent,STEEGMANS Gert,Cancellara Fabian,2007,2,0,0,0,1
1.0,Stage 3 - Waregem › Compiegne,CANCELLARA Fabian,Cancellara Fabian,2007,3,0,0,0,1
1.0,Stage 4 - Villers-Cotterets › Joigny,HUSHOVD Thor,Cancellara Fabian,2007,4,0,0,0,1
0.0,Stage 5 - Chablis › Autun,POZZATO Filippo,Cancellara Fabian,2007,5,0,0,0,1
0.0,Stage 6 - Semur-en-Auxois › Bourg-en-Bresse,BOONEN Tom,Cancellara Fabian,2007,6,0,0,0,1
0.0,Stage 7 - Bourg-en-Bresse › Le Grand Bornand,GERDEMANN Linus,Gerdemann Linus,2007,7,0,0,0,1
0.0,Stage 8 - Le Grand Bornand › Tignes,RASMUSSEN Michael,Rasmussen Michael,2007,8,0,0,0,1
0.0,Stage 9 - Val-d’Isère › Briançon,SOLER Juan Mauricio,Rasmussen Michael,2007,9,0,0,0,1
0.0,Stage 10 - Tallard › Marseille,VASSEUR Cédric,Rasmussen Michael,2007,10,0,0,0,1
0.0,Stage 11 - Marseille › Montpellier,HUNTER Robert,Rasmussen Michael,2007,11,0,0,0,1
0.0,Stage 12 - Montpellier › Castres,BOONEN Tom,Rasmussen Michael,2007,12,0,0,0,1
0.0,Stage 13 (ITT) - Albi › Albi,EVANS Cadel,Rasmussen Michael,2007,13,1,0,0,0
0.0,Stage 14 - Mazamet › Plateau-de-Beille,CONTADOR Alberto,Rasmussen Michael,2007,14,0,0,0,1
0.0,Stage 15 - Foix › Loudenvielle-Le-Louron,KIRCHEN Kim,Rasmussen Michael,2007,15,0,0,0,1
