Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
28,,84,66,+0:28,,Gonzalez Jimenez Aitor,47,Fassa Bortolo,",, ,,",1,2003
30,,21,10,+0:13,,Botero Santiago,48,Team Telekom,",, ,,",1,2003
32,,69,182,+0:51,,Vasseur C\xe9dric,49,Cofidis,",, ,,",1,2003
29,,13,134,+0:41,,Azevedo Jos\xe9 Bento Carvalho,50,O.N.C.E. - Eroski,",, ,,",1,2003
29,,207,102,+0:35,,Miholjevic Vladimir,51,Alessio,",, ,,",1,2003
26,,172,181,+0:51,,Artetxe Mikel,52,Euskaltel - Euskadi,",, ,,",1,2003
28,,114,46,+0:24,,Ca\xf1ada David,53,Quickstep - Davitamon,",, ,,",1,2003
30,,146,171,+0:47,,Merckx Axel,54,Lotto - Domo,",, ,,",1,2003
30,,18,157,+0:44,,Serrano Marcos Antonio,55,O.N.C.E. - Eroski,",, ,,",1,2003
24,,158,138,+0:41,,Portal Nicolas,56,AG2R Pr\xe9voyance,",, ,,",1,2003
33,,24,112,+0:37,,Guerini Giuseppe,57,Team Telekom,",, ,,",1,2003
32,,181,38,+0:23,,Rous Didier,58,Brioches La Boulang\xe8re,",, ,,",1,2003
32,,139,25,+0:18,,Steinhauser Tobias,59,Team Bianchi,",, ,,",1,2003
26,,163,136,+0:41,,Bossoni Paolo,60,Vini Calderola - So.di,",, ,,",1,2003
27,,126,190,+0:55,,Jegou Lilian,61,Cr\xe9dit Agricole,",, ,,",1,2003
34,,23,161,+0:45,,Aldag Rolf,62,Team Telekom,",, ,,",1,2003
32,,115,62,+0:27,,Knaven Servais,63,Quickstep - Davitamon,",, ,,",1,2003
24,,183,108,+0:36,,Chavanel Sylvain,64,Brioches La Boulang\xe8re,",, ,,",1,2003
26,,61,2,+0:04,,Millar David,65,Cofidis,",, ,,",1,2003
29,,12,90,+0:33,,Andrle Ren\xe9,66,O.N.C.E. - Eroski,",, ,,",1,2003
33,,138,45,+0:24,,Plaza David,67,Team Bianchi,",, ,,",1,2003
