Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
27,2,+0:31,2.0,Farrar Tyler,2,Team Garmin - Barracuda,0:31 0:31,+0:00,,-,5,2012
34,3,+0:34,3.0,Flecha Juan Antonio,3,Sky Procycling,0:34 0:34,+0:00,,-,5,2012
31,4,+0:36,4.0,Steegmans Gert,4,Omega Pharma - Quick-Step,0:36 0:36,+0:00,,-,5,2012
30,5,+0:45,5.0,Eisel Bernhard,5,Sky Procycling,0:45 0:45,+0:00,,-,5,2012
27,6,+1:00,6.0,Veelers Tom,6,Argos - Shimano,1:00 1:00,+0:00,,-,5,2012
26,7,+1:05,11.0,Cavendish Mark,7,Sky Procycling,1:05 1:05,+-1:50,,\u25b24,5,2012
30,8,+1:06,7.0,Cancellara Fabian,8,RadioShack - Nissan,1:06 1:06,+0:00,,\u25bc1,5,2012
24,9,+1:09,8.0,Navardauskas Ramunas,9,Team Garmin - Barracuda,1:09 1:09,+0:00,,\u25bc1,5,2012
25,10,+1:10,9.0,Kruopis Aidis,10,Orica GreenEDGE,1:10 1:10,+0:00,,\u25bc1,5,2012
22,11,+1:14,10.0,Blythe Adam,11,BMC Racing Team,1:14 1:14,+0:00,,\u25bc1,5,2012
31,12,+1:19,12.0,Vansummeren Johan,12,Team Garmin - Barracuda,1:19 1:19,+0:00,,-,5,2012
